team1,team1_1st_downs,team1_numberpenalties,team1_penaltyyards,team1_3rd_down_efficiency,team1_4th_down_efficiency,team1_comp/att,team1_defensive_/_special_teams_tds,team1_fumbles_lost,team1_interceptions_thrown,team1_passing,team1_passing_1st_downs,team1_red_zone_(made-att),team1_rushing,team1_rushing_1st_downs,team1_rushing_attempts,team1_sacks-yards_lost,team1_total_drives,team1_total_plays,team1_total_yards,team1_turnovers,team1_yards_per_pass,team1_yards_per_play,team1_yards_per_rush
49ers,19.0,3.0,11.0,0.6470588235294118,0.0,0.5333333333333333,0.0,0.0,0.0,161.0,11.0,0.6,91.0,7.0,33.0,0.1428571428571428,11.0,64.0,252.0,0.0,5.2,3.9,2.8
Bears,21.0,4.0,17.0,0.5,0.5,0.5428571428571428,0.0,0.0,1.0,177.0,12.0,0.5,138.0,7.0,32.0,0.1111111111111111,9.0,68.0,315.0,1.0,4.9,4.6,4.3
Bengals,25.0,4.0,30.0,0.8333333333333334,0.0,0.6944444444444444,0.0,0.0,2.0,276.0,18.0,1.0,62.0,4.0,19.0,0.125,9.0,56.0,338.0,2.0,7.5,6.0,3.3
Bills,22.0,6.0,68.0,0.5454545454545454,0.75,0.7857142857142857,1.0,1.0,0.0,233.0,13.0,0.6,183.0,7.0,29.0,0.1666666666666666,9.0,60.0,416.0,1.0,7.5,6.9,6.3
Broncos,27.0,8.0,50.0,0.5833333333333334,0.3333333333333333,0.8157894736842105,1.0,0.0,0.0,204.0,14.0,0.6666666666666666,152.0,11.0,31.0,0.375,7.0,72.0,356.0,0.0,5.0,4.9,4.9
Browns,22.0,7.0,50.0,0.4285714285714285,0.0,0.5476190476190477,0.0,1.0,1.0,351.0,13.0,1.0,61.0,5.0,20.0,0.1538461538461538,15.0,64.0,412.0,2.0,8.0,6.4,3.1
Buccaneers,19.0,7.0,49.0,0.2307692307692307,0.2857142857142857,0.4666666666666667,0.0,0.0,1.0,122.0,4.0,0.5,179.0,11.0,39.0,0.0,11.0,69.0,301.0,1.0,4.1,4.4,4.6
Cardinals,17.0,7.0,42.0,0.3333333333333333,0.0,0.5681818181818182,0.0,0.0,1.0,263.0,15.0,0.5,51.0,2.0,14.0,0.375,11.0,61.0,314.0,1.0,5.6,5.1,3.6
Chargers,16.0,7.0,55.0,0.3684210526315789,0.0,0.4615384615384615,0.0,2.0,1.0,106.0,5.0,0.3333333333333333,169.0,9.0,38.0,0.2121212121212121,13.0,71.0,275.0,3.0,3.2,3.9,4.4
Chiefs,15.0,5.0,20.0,0.2857142857142857,0.3333333333333333,0.4242424242424242,0.0,0.0,3.0,148.0,8.0,0.5,126.0,6.0,29.0,0.1666666666666666,13.0,64.0,274.0,3.0,4.2,4.3,4.3
Colts,20.0,5.0,45.0,0.5454545454545454,0.0,0.6388888888888888,0.0,1.0,2.0,196.0,12.0,0.5,89.0,5.0,26.0,0.1111111111111111,12.0,63.0,285.0,3.0,5.3,4.5,3.4
Commanders,12.0,4.0,34.0,0.3,0.3333333333333333,0.4583333333333333,0.0,1.0,2.0,99.0,6.0,0.0,107.0,4.0,23.0,0.2222222222222222,7.0,49.0,206.0,3.0,3.8,4.2,4.7
Cowboys,25.0,7.0,76.0,0.4,1.0,0.6595744680851063,0.0,1.0,2.0,326.0,17.0,0.3333333333333333,91.0,7.0,24.0,0.1,11.0,76.0,417.0,3.0,6.3,5.5,3.8
Dolphins,23.0,5.0,54.0,0.2,0.0,0.6190476190476191,0.0,0.0,0.0,119.0,8.0,1.0,239.0,14.0,41.0,0.125,13.0,63.0,358.0,0.0,5.4,5.7,5.8
Eagles,19.0,6.0,53.0,0.3076923076923077,0.0,0.525,0.0,1.0,4.0,231.0,12.0,0.0,134.0,5.0,25.0,0.1111111111111111,14.0,66.0,365.0,5.0,5.6,5.5,5.4
Falcons,15.0,8.0,56.0,0.0769230769230769,0.5,0.5,0.0,1.0,2.0,154.0,6.0,0.0,120.0,6.0,31.0,0.125,11.0,62.0,274.0,3.0,5.0,4.4,3.9
Giants,14.0,4.0,30.0,0.3636363636363636,0.0,0.7083333333333334,0.0,1.0,0.0,128.0,4.0,0.0,111.0,9.0,27.0,0.1818181818181818,10.0,53.0,239.0,1.0,4.9,4.5,4.1
Jaguars,18.0,8.0,64.0,0.4666666666666667,0.5,0.5806451612903226,0.0,1.0,0.0,247.0,10.0,0.6,103.0,8.0,32.0,0.0,12.0,63.0,350.0,1.0,8.0,5.6,3.2
Jets,12.0,6.0,50.0,0.0833333333333333,0.5,0.4411764705882353,1.0,0.0,3.0,142.0,8.0,0.0,65.0,3.0,17.0,0.2222222222222222,12.0,57.0,207.0,3.0,3.6,3.6,3.8
Lions,20.0,8.0,50.0,0.375,0.0,0.7352941176470589,0.0,0.0,0.0,299.0,10.0,0.8,109.0,8.0,22.0,0.1,12.0,57.0,408.0,0.0,8.5,7.2,5.0
Packers,17.0,6.0,55.0,0.6666666666666666,0.0,0.68,0.0,0.0,1.0,220.0,9.0,1.0,117.0,8.0,26.0,0.0714285714285714,9.0,52.0,337.0,1.0,8.5,6.5,4.5
Panthers,17.0,7.0,70.0,0.4666666666666667,1.0,0.75,1.0,0.0,0.0,194.0,8.0,0.0,164.0,9.0,40.0,0.1666666666666666,8.0,62.0,358.0,0.0,8.8,5.8,4.1
Patriots,21.0,3.0,30.0,0.4615384615384615,1.0,0.7741935483870968,1.0,0.0,0.0,276.0,14.0,0.2,119.0,7.0,29.0,0.5,10.0,63.0,395.0,0.0,8.1,6.3,4.1
Raiders,16.0,3.0,25.0,0.3333333333333333,0.3333333333333333,0.65625,0.0,0.0,0.0,189.0,11.0,0.5,40.0,3.0,12.0,0.1666666666666666,8.0,48.0,229.0,0.0,5.3,4.8,3.3
Rams,30.0,5.0,30.0,0.375,0.0,0.7096774193548387,0.0,0.0,0.0,281.0,13.0,0.75,249.0,15.0,36.0,0.0,11.0,67.0,530.0,0.0,9.1,7.9,6.9
Ravens,22.0,5.0,39.0,0.3888888888888889,0.75,0.5428571428571428,0.0,0.0,1.0,203.0,9.0,0.3333333333333333,217.0,10.0,40.0,0.125,10.0,77.0,420.0,1.0,5.5,5.5,5.4
Saints,16.0,10.0,82.0,0.4545454545454545,0.0,0.65,0.0,0.0,1.0,121.0,9.0,0.6666666666666666,139.0,7.0,32.0,0.1304347826086956,11.0,55.0,260.0,1.0,5.3,4.7,4.3
Seahawks,20.0,6.0,60.0,0.4615384615384615,0.0,0.6666666666666666,1.0,0.0,1.0,236.0,11.0,0.5,129.0,6.0,26.0,0.1538461538461538,11.0,58.0,365.0,1.0,7.4,6.3,5.0
Steelers,13.0,7.0,33.0,0.4285714285714285,1.0,0.6764705882352942,0.0,0.0,0.0,284.0,7.0,0.5,34.0,4.0,17.0,0.0,10.0,51.0,318.0,0.0,8.4,6.2,2.0
Texans,14.0,8.0,59.0,0.4444444444444444,0.0,0.4838709677419355,0.0,0.0,0.0,186.0,7.0,0.5,82.0,5.0,31.0,0.1764705882352941,13.0,65.0,268.0,0.0,5.5,4.1,2.6
Titans,13.0,11.0,85.0,0.3529411764705882,0.0,0.5,0.0,0.0,1.0,108.0,6.0,1.0,184.0,7.0,35.0,0.1111111111111111,15.0,64.0,292.0,1.0,3.7,4.6,5.3
Vikings,25.0,3.0,24.0,0.5454545454545454,1.0,0.6956521739130435,0.0,0.0,0.0,151.0,13.0,1.0,162.0,10.0,34.0,0.3333333333333333,8.0,61.0,313.0,0.0,5.6,5.1,4.8
