team1,team1_1st_downs,team1_numberpenalties,team1_penaltyyards,team1_3rd_down_efficiency,team1_4th_down_efficiency,team1_comp/att,team1_defensive_/_special_teams_tds,team1_fumbles_lost,team1_interceptions_thrown,team1_passing,team1_passing_1st_downs,team1_red_zone_(made-att),team1_rushing,team1_rushing_1st_downs,team1_rushing_attempts,team1_sacks-yards_lost,team1_total_drives,team1_total_plays,team1_total_yards,team1_turnovers,team1_yards_per_pass,team1_yards_per_play,team1_yards_per_rush
49ers,22.5,3.25,19.25,0.4734634238310709,0.3333333333333333,0.7072516025641026,0.0,0.25,1.0,214.75,12.75,0.7166666666666667,101.75,8.75,29.25,0.05357142857142855,10.5,61.5,316.5,1.25,6.575,5.2,3.5
Bears,21.75,5.25,43.75,0.5038964303670186,0.4583333333333333,0.5144841269841269,0.0,0.5,0.5,182.5,9.75,0.6666666666666666,164.5,11.0,35.75,0.14123931623931624,11.25,71.75,347.0,1.0,5.1,4.85,4.475
Bengals,21.0,6.0,49.25,0.4879554655870445,0.29166666666666663,0.5793748410882278,0.25,0.5,1.0,227.25,12.0,0.5416666666666666,103.75,6.5,24.25,0.1276785714285714,10.25,65.25,331.0,1.5,5.6,5.125,4.3
Bills,20.25,6.5,53.0,0.484185606060606,0.7125,0.6942759712580684,0.75,1.0,1.25,214.0,11.0,0.4625,168.0,8.0,31.75,0.0702380952380952,10.0,63.25,382.0,2.25,6.95,6.15,5.35
Broncos,19.0,8.5,77.0,0.4625,0.3333333333333333,0.6658103592314119,0.25,0.0,0.75,234.5,11.75,0.44999999999999996,95.5,6.75,25.5,0.212797619047619,10.0,64.75,330.0,0.75,5.85,5.05,3.65
Browns,14.5,6.0,48.25,0.273538961038961,0.0,0.5436355311355312,0.25,1.0,0.75,188.25,7.0,0.41666666666666663,92.25,5.5,25.75,0.16591251885369526,12.75,56.5,280.5,1.75,6.15,4.925,3.55
Buccaneers,16.75,4.0,32.25,0.4106334841628959,0.6214285714285714,0.5452380952380953,0.0,0.25,1.0,135.25,5.75,0.4583333333333333,149.75,9.0,33.5,0.1115530303030303,11.25,65.25,285.0,1.25,4.425,4.4,4.375
Cardinals,22.0,8.75,64.5,0.36235119047619047,0.08333333333333333,0.6994358054226475,0.25,0.5,1.0,319.25,16.0,0.6083333333333334,59.25,4.75,16.75,0.17784090909090908,11.0,67.25,378.5,1.5,6.3,5.65,3.5
Chargers,16.0,6.0,52.0,0.4193111455108359,0.3333333333333333,0.5823759573759574,0.0,0.5,0.75,136.75,6.75,0.39999999999999997,129.5,7.75,32.0,0.21073593073593072,11.25,63.0,266.25,1.25,4.45,4.1499999999999995,3.8000000000000003
Chiefs,21.5,8.0,66.25,0.3731112637362637,0.5833333333333334,0.5938980598827146,0.0,0.25,1.25,246.5,12.0,0.47916666666666663,113.75,7.25,26.75,0.27777777777777773,10.75,69.25,360.25,1.5,5.725,5.175,4.375
