team1,team1_1st_downs,team1_numberpenalties,team1_penaltyyards,team1_3rd_down_efficiency,team1_4th_down_efficiency,team1_comp/att,team1_defensive_/_special_teams_tds,team1_fumbles_lost,team1_interceptions_thrown,team1_passing,team1_passing_1st_downs,team1_red_zone_(made-att),team1_rushing,team1_rushing_1st_downs,team1_rushing_attempts,team1_sacks-yards_lost,team1_total_drives,team1_total_plays,team1_total_yards,team1_turnovers,team1_yards_per_pass,team1_yards_per_play,team1_yards_per_rush
Colts,18.0,7.0,54.25,0.34918414918414914,0.125,0.6252699659957724,0.0,0.5,0.75,192.0,9.25,0.5,143.0,7.25,27.25,0.09910546139359695,11.0,59.5,335.0,1.25,6.0,5.525,4.725
Commanders,19.5,5.75,40.25,0.35803167420814475,0.7083333333333334,0.6030681818181818,0.0,0.5,1.0,194.25,10.5,0.4,128.75,7.0,29.0,0.15277777777777776,8.75,62.25,323.0,1.5,5.975,5.15,4.4
Cowboys,24.25,7.0,61.25,0.4447916666666667,0.5833333333333333,0.6870867017143613,0.0,0.75,1.0,315.25,16.0,0.5083333333333333,116.75,5.75,28.0,0.31666666666666665,10.75,68.5,432.0,1.75,7.95,6.35,4.2
Dolphins,19.25,4.25,35.75,0.3,0.0,0.638768115942029,0.0,0.0,0.75,142.0,8.25,0.55,192.25,10.5,34.0,0.10059032983508243,11.25,57.25,334.25,0.75,6.2,5.9,5.65
Eagles,17.0,9.0,67.75,0.3310897435897436,0.0,0.5690328054298642,0.0,1.0,1.25,215.25,10.75,0.4583333333333333,108.0,4.5,25.0,0.06973581973581973,12.25,61.0,323.25,2.25,5.9,5.35,4.425
Falcons,19.0,6.0,52.25,0.25597319347319347,0.375,0.6163372859025033,0.0,0.75,0.75,195.0,9.0,0.625,133.25,7.75,30.0,0.1145833333333333,11.5,60.5,328.25,1.5,6.425,5.425,4.45
Giants,20.5,6.75,58.75,0.4301948051948052,0.3333333333333333,0.6220325929377654,0.0,0.75,0.5,244.75,10.25,0.29583333333333334,136.0,8.25,33.5,0.21938311688311687,10.5,67.25,380.75,1.25,7.050000000000001,5.575,4.125
Jaguars,21.5,7.25,56.75,0.3675407925407925,0.525,0.6024003475616379,0.0,0.5,1.0,209.75,11.75,0.7583333333333333,124.75,8.0,33.5,0.06725146198830408,12.0,62.5,334.5,1.5,7.225,5.375,3.675
Jets,14.5,7.0,63.0,0.36397456709956705,0.375,0.5449081147610559,0.25,0.5,1.0,152.5,7.75,0.41666666666666663,98.25,6.25,24.75,0.18113830613830612,11.0,58.5,250.75,1.5,4.575,4.275,3.925
Lions,19.0,6.75,50.25,0.4094551282051282,0.0,0.6302699758582111,0.0,0.0,0.5,258.0,11.25,0.4916666666666667,134.75,6.75,23.25,0.13336627140974963,11.25,60.5,392.75,0.5,7.05,6.5,6.1
Packers,19.0,4.0,33.25,0.5757575757575757,0.25,0.6346853146853146,0.0,0.0,0.25,191.0,9.75,0.875,129.0,8.25,30.25,0.1220238095238095,9.25,57.0,320.0,0.25,7.125,5.675,4.45
Panthers,16.0,5.0,38.5,0.32394957983193273,0.4,0.6848946360153256,0.25,0.25,0.75,219.0,10.75,0.20833333333333331,93.25,4.75,25.25,0.13874738766980144,10.0,57.5,312.25,1.0,6.6000000000000005,5.275,3.825
Patriots,20.25,3.5,37.75,0.4258241758241758,0.6666666666666666,0.6635470317159122,0.5,0.0,0.5,275.25,12.75,0.325,114.25,5.75,28.5,0.4277777777777778,10.5,62.75,389.5,0.5,8.025,6.25,4.025
Raiders,16.0,6.5,56.0,0.26715686274509803,0.3333333333333333,0.6908835050818747,0.0,0.25,0.5,182.75,11.75,0.7083333333333333,39.5,2.5,15.75,0.13986695775488875,11.0,56.75,222.25,0.75,4.55,3.9749999999999996,2.55
Rams,21.0,4.0,27.5,0.3392045454545455,0.16666666666666666,0.6506336405529954,0.25,0.5,0.5,225.25,11.75,0.7916666666666666,147.5,8.25,24.5,0.05625,10.0,55.75,372.75,1.0,7.1499999999999995,6.6,5.800000000000001
Ravens,17.75,5.25,37.0,0.31383061383061384,0.8125,0.5498311335403727,0.0,1.25,1.0,184.0,8.0,0.37083333333333335,155.5,8.0,31.5,0.136935618729097,11.5,63.0,339.5,2.25,5.875,5.4,5.0
Saints,18.5,6.5,55.75,0.39274175579322634,0.26666666666666666,0.6698621553884712,0.25,0.75,0.75,203.5,10.25,0.41666666666666663,105.25,7.25,31.0,0.14542368238957443,10.25,67.25,308.75,1.5,5.9,4.65,3.3499999999999996
Seahawks,20.5,6.75,50.25,0.3961881868131868,0.5,0.6199009324009324,0.5,0.5,1.25,212.0,10.75,0.4375,125.75,7.75,28.25,0.1178733031674208,10.75,61.5,337.75,1.75,6.425000000000001,5.625,4.625
Steelers,16.75,6.5,54.25,0.4679487179487179,0.5833333333333333,0.6361875395319418,0.75,0.5,0.5,195.75,8.0,0.625,97.25,6.75,24.75,0.09217171717171715,9.5,55.75,293.0,1.0,6.2,5.2,3.6
Texans,18.25,6.75,59.25,0.3450854700854701,0.25,0.569980517777528,0.0,0.0,0.25,208.75,10.25,0.43333333333333335,93.25,5.75,28.5,0.09852941176470588,11.5,65.0,302.0,0.25,5.7,4.625,3.325
Titans,14.0,10.0,74.0,0.31813725490196076,0.24107142857142858,0.6117235656709341,0.25,0.75,0.25,158.0,8.0,0.6666666666666666,93.25,4.75,22.0,0.13955314009661832,11.0,61.0,251.25,1.0,4.0,4.1,4.1
Vikings,15.25,4.25,37.0,0.3101010101010101,0.5,0.6151411136536995,0.0,0.5,2.0,112.25,8.0,0.41666666666666663,109.0,6.0,23.0,0.15238095238095234,10.5,52.25,221.25,2.5,3.825,4.125,4.7
