team1,team2,team1_1st_downs,team1_numberpenalties,team1_penaltyyards,team1_3rd_down_efficiency,team1_4th_down_efficiency,team1_comp/att,team1_defensive_/_special_teams_tds,team1_fumbles_lost,team1_interceptions_thrown,team1_passing,team1_passing_1st_downs,team1_possession,team1_red_zone_(made-att),team1_rushing,team1_rushing_1st_downs,team1_rushing_attempts,team1_sacks-yards_lost,team1_total_drives,team1_total_plays,team1_total_yards,team1_turnovers,team1_yards_per_pass,team1_yards_per_play,team1_yards_per_rush,team2_1st_downs,team2_numberpenalties,team2_penaltyyards,team2_3rd_down_efficiency,team2_4th_down_efficiency,team2_comp/att,team2_defensive_/_special_teams_tds,team2_fumbles_lost,team2_interceptions_thrown,team2_passing,team2_passing_1st_downs,team2_possession,team2_red_zone_(made-att),team2_rushing,team2_rushing_1st_downs,team2_rushing_attempts,team2_sacks-yards_lost,team2_total_drives,team2_total_plays,team2_total_yards,team2_turnovers,team2_yards_per_pass,team2_yards_per_play,team2_yards_per_rush,total,spread,ML
Cardinals,Rams,17,7,42,0.3333333333333333,0.0,0.5681818181818182,0,0,1,263,15,24:56,0.5,51,2,14,0.375,11,61,314,1,5.6,5.1,3.6,30,5,30,0.375,0.0,0.7096774193548387,0,0,0,281,13,35:04,0.75,249,15,36,0.0,11,67,530,0,9.1,7.9,6.9,62,28,2
Falcons,Seahawks,15,8,56,0.0769230769230769,0.5,0.5,0,1,2,154,6,28:40,0.0,120,6,31,0.125,11,62,274,3,5.0,4.4,3.9,20,6,60,0.4615384615384615,0.0,0.6666666666666666,1,0,1,236,11,31:20,0.5,129,6,26,0.1538461538461538,11,58,365,1,7.4,6.3,5.0,46,28,2
Ravens,Steelers,22,5,39,0.3888888888888889,0.75,0.5428571428571428,0,0,1,203,9,33:44,0.3333333333333333,217,10,40,0.125,10,77,420,1,5.5,5.5,5.4,13,7,33,0.4285714285714285,1.0,0.6764705882352942,0,0,0,284,7,26:16,0.5,34,4,17,0.0,10,51,318,0,8.4,6.2,2.0,49,5,2
Bills,Bengals,22,6,68,0.5454545454545454,0.75,0.7857142857142857,1,1,0,233,13,31:48,0.6,183,7,29,0.1666666666666666,9,60,416,1,7.5,6.9,6.3,25,4,30,0.8333333333333334,0.0,0.6944444444444444,0,0,2,276,18,28:12,1.0,62,4,19,0.125,9,56,338,2,7.5,6.0,3.3,73,-5,1
Panthers,Rams,17,7,70,0.4666666666666667,1.0,0.75,1,0,0,194,8,35:16,0.0,164,9,40,0.1666666666666666,8,62,358,0,8.8,5.8,4.1,22,1,5,0.4,0.0,0.6428571428571429,0,1,2,227,12,24:44,0.6666666666666666,152,9,21,0.125,9,51,379,3,7.6,7.4,7.2,59,-3,1
Bears,Packers,21,4,17,0.5,0.5,0.5428571428571428,0,0,1,177,12,33:29,0.5,138,7,32,0.1111111111111111,9,68,315,1,4.9,4.6,4.3,17,6,55,0.6666666666666666,0.0,0.68,0,0,1,220,9,26:31,1.0,117,8,26,0.0714285714285714,9,52,337,1,8.5,6.5,4.5,49,7,2
Bengals,Bills,25,4,30,0.8333333333333334,0.0,0.6944444444444444,0,0,2,276,18,28:12,1.0,62,4,19,0.125,9,56,338,2,7.5,6.0,3.3,22,6,68,0.5454545454545454,0.75,0.7857142857142857,1,1,0,233,13,31:48,0.6,183,7,29,0.1666666666666666,9,60,416,1,7.5,6.9,6.3,73,5,2
Browns,Titans,22,7,50,0.4285714285714285,0.0,0.5476190476190477,0,1,1,351,13,28:04,1.0,61,5,20,0.1538461538461538,15,64,412,2,8.0,6.4,3.1,13,11,85,0.3529411764705882,0.0,0.5,0,0,1,108,6,31:56,1.0,184,7,35,0.1111111111111111,15,64,292,1,3.7,4.6,5.3,60,2,2
Cowboys,Lions,25,7,76,0.4,1.0,0.6595744680851063,0,1,2,326,17,31:23,0.3333333333333333,91,7,24,0.1,11,76,417,3,6.3,5.5,3.8,20,8,50,0.375,0.0,0.7352941176470589,0,0,0,299,10,28:37,0.8,109,8,22,0.1,12,57,408,0,8.5,7.2,5.0,74,14,2
Broncos,Raiders,27,8,50,0.5833333333333334,0.3333333333333333,0.8157894736842105,1,0,0,204,14,39:03,0.6666666666666666,152,11,31,0.375,7,72,356,0,5.0,4.9,4.9,16,3,25,0.3333333333333333,0.3333333333333333,0.65625,0,0,0,189,11,20:57,0.5,40,3,12,0.1666666666666666,8,48,229,0,5.3,4.8,3.3,41,-7,1
Lions,Cowboys,20,8,50,0.375,0.0,0.7352941176470589,0,0,0,299,10,28:37,0.8,109,8,22,0.1,12,57,408,0,8.5,7.2,5.0,25,7,76,0.4,1.0,0.6595744680851063,0,1,2,326,17,31:23,0.3333333333333333,91,7,24,0.1,11,76,417,3,6.3,5.5,3.8,74,-14,1
Packers,Bears,17,6,55,0.6666666666666666,0.0,0.68,0,0,1,220,9,26:31,1.0,117,8,26,0.0714285714285714,9,52,337,1,8.5,6.5,4.5,21,4,17,0.5,0.5,0.5428571428571428,0,0,1,177,12,33:29,0.5,138,7,32,0.1111111111111111,9,68,315,1,4.9,4.6,4.3,49,-7,1
Texans,Chiefs,14,8,59,0.4444444444444444,0.0,0.4838709677419355,0,0,0,186,7,31:58,0.5,82,5,31,0.1764705882352941,13,65,268,0,5.5,4.1,2.6,15,5,20,0.2857142857142857,0.3333333333333333,0.4242424242424242,0,0,3,148,8,28:02,0.5,126,6,29,0.1666666666666666,13,64,274,3,4.2,4.3,4.3,30,-10,1
Colts,Jaguars,20,5,45,0.5454545454545454,0.0,0.6388888888888888,0,1,2,196,12,29:55,0.5,89,5,26,0.1111111111111111,12,63,285,3,5.3,4.5,3.4,18,8,64,0.4666666666666667,0.5,0.5806451612903226,0,1,0,247,10,30:05,0.6,103,8,32,0.0,12,63,350,1,8.0,5.6,3.2,55,17,2
Jaguars,Colts,18,8,64,0.4666666666666667,0.5,0.5806451612903226,0,1,0,247,10,30:05,0.6,103,8,32,0.0,12,63,350,1,8.0,5.6,3.2,20,5,45,0.5454545454545454,0.0,0.6388888888888888,0,1,2,196,12,29:55,0.5,89,5,26,0.1111111111111111,12,63,285,3,5.3,4.5,3.4,55,-17,1
Chiefs,Texans,15,5,20,0.2857142857142857,0.3333333333333333,0.4242424242424242,0,0,3,148,8,28:02,0.5,126,6,29,0.1666666666666666,13,64,274,3,4.2,4.3,4.3,14,8,59,0.4444444444444444,0.0,0.4838709677419355,0,0,0,186,7,31:58,0.5,82,5,31,0.1764705882352941,13,65,268,0,5.5,4.1,2.6,30,10,2
Raiders,Broncos,16,3,25,0.3333333333333333,0.3333333333333333,0.65625,0,0,0,189,11,20:57,0.5,40,3,12,0.1666666666666666,8,48,229,0,5.3,4.8,3.3,27,8,50,0.5833333333333334,0.3333333333333333,0.8157894736842105,1,0,0,204,14,39:03,0.6666666666666666,152,11,31,0.375,7,72,356,0,5.0,4.9,4.9,41,7,2
Chargers,Eagles,16,7,55,0.3684210526315789,0.0,0.4615384615384615,0,2,1,106,5,38:05,0.3333333333333333,169,9,38,0.2121212121212121,13,71,275,3,3.2,3.9,4.4,19,6,53,0.3076923076923077,0.0,0.525,0,1,4,231,12,29:26,0.0,134,5,25,0.1111111111111111,14,66,365,5,5.6,5.5,5.4,41,-3,1
Rams,Cardinals,30,5,30,0.375,0.0,0.7096774193548387,0,0,0,281,13,35:04,0.75,249,15,36,0.0,11,67,530,0,9.1,7.9,6.9,17,7,42,0.3333333333333333,0.0,0.5681818181818182,0,0,1,263,15,24:56,0.5,51,2,14,0.375,11,61,314,1,5.6,5.1,3.6,62,-28,1
Dolphins,Jets,23,5,54,0.2,0.0,0.6190476190476191,0,0,0,119,8,36:07,1.0,239,14,41,0.125,13,63,358,0,5.4,5.7,5.8,12,6,50,0.0833333333333333,0.5,0.4411764705882353,1,0,3,142,8,23:53,0.0,65,3,17,0.2222222222222222,12,57,207,3,3.6,3.6,3.8,44,-24,1
Vikings,Commanders,25,3,24,0.5454545454545454,1.0,0.6956521739130435,0,0,0,151,13,34:52,1.0,162,10,34,0.3333333333333333,8,61,313,0,5.6,5.1,4.8,12,4,34,0.3,0.3333333333333333,0.4583333333333333,0,1,2,99,6,25:08,0.0,107,4,23,0.2222222222222222,7,49,206,3,3.8,4.2,4.7,31,-31,1
Patriots,Giants,21,3,30,0.4615384615384615,1.0,0.7741935483870968,1,0,0,276,14,33:26,0.2,119,7,29,0.5,10,63,395,0,8.1,6.3,4.1,14,4,30,0.3636363636363636,0.0,0.7083333333333334,0,1,0,128,4,26:34,0.0,111,9,27,0.1818181818181818,10,53,239,1,4.9,4.5,4.1,48,-18,1
Saints,Buccaneers,16,10,82,0.4545454545454545,0.0,0.65,0,0,1,121,9,27:48,0.6666666666666666,139,7,32,0.1304347826086956,11,55,260,1,5.3,4.7,4.3,19,7,49,0.2307692307692307,0.2857142857142857,0.4666666666666667,0,0,1,122,4,32:12,0.5,179,11,39,0.0,11,69,301,1,4.1,4.4,4.6,44,-4,1
Giants,Patriots,14,4,30,0.3636363636363636,0.0,0.7083333333333334,0,1,0,128,4,26:34,0.0,111,9,27,0.1818181818181818,10,53,239,1,4.9,4.5,4.1,21,3,30,0.4615384615384615,1.0,0.7741935483870968,1,0,0,276,14,33:26,0.2,119,7,29,0.5,10,63,395,0,8.1,6.3,4.1,48,18,2
Jets,Dolphins,12,6,50,0.0833333333333333,0.5,0.4411764705882353,1,0,3,142,8,23:53,0.0,65,3,17,0.2222222222222222,12,57,207,3,3.6,3.6,3.8,23,5,54,0.2,0.0,0.6190476190476191,0,0,0,119,8,36:07,1.0,239,14,41,0.125,13,63,358,0,5.4,5.7,5.8,44,24,2
Eagles,Chargers,19,6,53,0.3076923076923077,0.0,0.525,0,1,4,231,12,29:26,0.0,134,5,25,0.1111111111111111,14,66,365,5,5.6,5.5,5.4,16,7,55,0.3684210526315789,0.0,0.4615384615384615,0,2,1,106,5,38:05,0.3333333333333333,169,9,38,0.2121212121212121,13,71,275,3,3.2,3.9,4.4,41,3,2
Steelers,Ravens,13,7,33,0.4285714285714285,1.0,0.6764705882352942,0,0,0,284,7,26:16,0.5,34,4,17,0.0,10,51,318,0,8.4,6.2,2.0,22,5,39,0.3888888888888889,0.75,0.5428571428571428,0,0,1,203,9,33:44,0.3333333333333333,217,10,40,0.125,10,77,420,1,5.5,5.5,5.4,49,-5,1
49ers,Browns,19,3,11,0.6470588235294118,0.0,0.5333333333333333,0,0,0,161,11,30:10,0.6,91,7,33,0.1428571428571428,11,64,252,0,5.2,3.9,2.8,15,4,25,0.2727272727272727,0.0,0.6538461538461539,0,2,0,115,7,29:50,0.0,138,8,31,0.088235294117647,9,60,253,2,4.0,4.2,4.5,34,-18,1
Seahawks,Falcons,20,6,60,0.4615384615384615,0.0,0.6666666666666666,1,0,1,236,11,31:20,0.5,129,6,26,0.1538461538461538,11,58,365,1,7.4,6.3,5.0,15,8,56,0.0769230769230769,0.5,0.5,0,1,2,154,6,28:40,0.0,120,6,31,0.125,11,62,274,3,5.0,4.4,3.9,46,-28,1
Buccaneers,Saints,19,7,49,0.2307692307692307,0.2857142857142857,0.4666666666666667,0,0,1,122,4,32:12,0.5,179,11,39,0.0,11,69,301,1,4.1,4.4,4.6,16,10,82,0.4545454545454545,0.0,0.65,0,0,1,121,9,27:48,0.6666666666666666,139,7,32,0.1304347826086956,11,55,260,1,5.3,4.7,4.3,44,4,2
Titans,Browns,13,11,85,0.3529411764705882,0.0,0.5,0,0,1,108,6,31:56,1.0,184,7,35,0.1111111111111111,15,64,292,1,3.7,4.6,5.3,22,7,50,0.4285714285714285,0.0,0.5476190476190477,0,1,1,351,13,28:04,1.0,61,5,20,0.1538461538461538,15,64,412,2,8.0,6.4,3.1,60,-2,1
Commanders,Vikings,12,4,34,0.3,0.3333333333333333,0.4583333333333333,0,1,2,99,6,25:08,0.0,107,4,23,0.2222222222222222,7,49,206,3,3.8,4.2,4.7,25,3,24,0.5454545454545454,1.0,0.6956521739130435,0,0,0,151,13,34:52,1.0,162,10,34,0.3333333333333333,8,61,313,0,5.6,5.1,4.8,31,31,2
