team1,team1_1st_downs,team1_numberpenalties,team1_penaltyyards,team1_3rd_down_efficiency,team1_4th_down_efficiency,team1_comp/att,team1_defensive_/_special_teams_tds,team1_fumbles_lost,team1_interceptions_thrown,team1_passing,team1_passing_1st_downs,team1_red_zone_(made-att),team1_rushing,team1_rushing_1st_downs,team1_rushing_attempts,team1_sacks-yards_lost,team1_total_drives,team1_total_plays,team1_total_yards,team1_turnovers,team1_yards_per_pass,team1_yards_per_play,team1_yards_per_rush
49ers,20.875,4.375,28.875,0.4762676967640203,0.29166666666666663,0.6950721153846153,0.0,0.25,1.0,212.625,11.75,0.7708333333333334,106.875,8.125,28.375,0.1357376283846872,10.125,61.0,319.5,1.25,6.5125,5.25,3.8
Bears,22.75,6.5,51.75,0.44164809863339277,0.5104166666666666,0.55536305898148,0.0,0.25,0.5,210.375,11.25,0.59375,178.75,10.125,33.875,0.12791132478632478,11.125,69.5,389.125,0.75,5.9,5.6125,5.175
Bengals,22.625,5.0,39.125,0.4745332883490778,0.5208333333333334,0.6123424754738872,0.25,0.375,0.75,264.5,13.625,0.6020833333333333,104.875,6.75,21.75,0.14122023809523804,10.375,64.75,369.375,1.125,6.1125,5.725,4.725
Bills,20.5,6.375,55.375,0.4573705808080808,0.41875,0.6934172498430811,0.375,0.75,1.0,216.25,10.875,0.5229166666666667,159.875,8.0,30.375,0.12891700158324196,10.25,62.0,376.125,1.75,6.925,6.1125,5.25
Broncos,19.125,7.875,69.375,0.4395032051282051,0.3541666666666667,0.6222792088173213,0.125,0.25,0.625,223.625,11.875,0.4875,110.125,6.5,25.375,0.20758928571428567,11.25,63.75,333.75,0.875,5.8625,5.225,4.275
Browns,16.0,6.25,47.875,0.2959439457601222,0.10416666666666666,0.5732133318070818,0.25,0.5,0.625,162.875,7.375,0.4375,95.5,5.875,25.125,0.14787132756140065,11.875,59.5,258.375,1.125,5.0125,4.375,3.8000000000000003
Buccaneers,17.375,4.625,32.5,0.3603648190045249,0.4232142857142857,0.594530700804083,0.125,0.375,0.625,172.625,8.125,0.5,118.125,7.625,27.75,0.12923881673881674,11.375,62.375,290.75,1.0,5.275,4.725,4.1625
Cardinals,22.5,6.875,53.125,0.4382154304029304,0.09166666666666667,0.6590165341873746,0.125,0.625,0.625,281.5,15.125,0.5854166666666667,83.375,5.75,21.375,0.1652565457798016,10.625,68.375,364.875,1.25,5.975,5.35,3.85
Chargers,19.875,6.0,44.25,0.4760017266015718,0.3854166666666667,0.6425701763451309,0.0,0.375,0.875,203.125,10.375,0.5169642857142857,131.25,8.0,30.25,0.2797025086226538,10.375,65.625,334.375,1.25,5.65,5.0249999999999995,4.175
Chiefs,23.0,6.125,52.875,0.3904017857142857,0.6458333333333333,0.6285316629945786,0.0,0.125,1.0,252.625,13.25,0.63125,118.25,7.75,28.375,0.23754960317460314,10.0,67.5,370.875,1.125,6.4875,5.475,4.25
Colts,21.0,5.5,48.0,0.3891483516483516,0.4375,0.6510378925488034,0.0,0.625,0.875,227.875,11.875,0.69375,132.625,7.75,24.5,0.13025624054901522,10.625,60.0,360.5,1.5,6.475,6.025,5.2125
Commanders,18.875,6.25,55.125,0.41118731146304677,0.5416666666666666,0.6337893356643357,0.0,0.75,1.125,190.0,9.75,0.6375,124.0,7.0,28.875,0.2188339438339438,9.5,60.875,314.0,1.875,6.0125,5.1375,4.2375
