team1,team1_1st_downs,team1_numberpenalties,team1_penaltyyards,team1_3rd_down_efficiency,team1_4th_down_efficiency,team1_comp/att,team1_defensive_/_special_teams_tds,team1_fumbles_lost,team1_interceptions_thrown,team1_passing,team1_passing_1st_downs,team1_red_zone_(made-att),team1_rushing,team1_rushing_1st_downs,team1_rushing_attempts,team1_sacks-yards_lost,team1_total_drives,team1_total_plays,team1_total_yards,team1_turnovers,team1_yards_per_pass,team1_yards_per_play,team1_yards_per_rush
Cowboys,22.375,7.375,62.0,0.43451704545454545,0.5416666666666666,0.6784496210575685,0.25,0.625,0.875,277.5,14.125,0.5145833333333333,110.125,5.875,26.75,0.20848214285714284,10.5,65.25,387.625,1.5,7.35,5.95,4.0875
Dolphins,18.625,5.125,48.75,0.29495920745920745,0.20833333333333331,0.6466130006233443,0.0,0.375,1.25,166.75,9.0,0.43333333333333335,154.125,8.375,29.5,0.12447445784683414,11.125,58.625,320.875,1.625,5.85,5.5125,5.225
Eagles,17.125,7.5,59.0,0.3028712606837607,0.3333333333333333,0.644551747804625,0.125,0.75,0.75,222.125,10.5,0.4375,117.125,5.375,26.25,0.11228387625446447,10.875,58.25,339.25,1.5,7.0625,5.9125,4.3875
Falcons,18.125,5.75,50.375,0.22003205128205125,0.3333333333333333,0.5898207625702643,0.0,0.75,0.375,193.125,9.875,0.6875,106.375,6.25,25.25,0.15015782828282825,11.125,58.125,299.5,1.125,5.9125,5.125,4.0875
Giants,20.625,6.625,50.375,0.45520156926406924,0.4166666666666667,0.6133910050935913,0.0,0.375,0.375,224.75,9.625,0.5645833333333333,127.5,8.5,30.875,0.45552489177489175,10.375,63.875,352.25,0.75,6.6875,5.45,4.175
Jaguars,21.125,8.75,74.0,0.3557874417249417,0.5541666666666667,0.5966641474137504,0.125,0.375,0.75,206.5,11.125,0.5166666666666666,112.125,7.625,30.125,0.1281314856561567,11.25,65.5,318.625,1.125,6.075,4.875,3.725
Jets,14.375,5.75,47.375,0.34941152597402597,0.3333333333333333,0.5489692088956795,0.375,0.25,0.875,128.625,6.875,0.2833333333333333,118.375,6.625,27.5,0.16500097125097124,11.125,58.5,247.0,1.125,3.9875,4.125,4.1875
Lions,19.5,6.25,45.75,0.3896566056492527,0.3125,0.6742249892604862,0.0,0.25,0.375,250.75,12.125,0.49583333333333335,136.5,6.5,25.125,0.1313684503901895,10.75,61.25,387.25,0.625,7.012499999999999,6.2875,5.4875
Packers,19.375,5.25,42.0,0.4928467365967366,0.4583333333333333,0.6544944643220505,0.0,0.375,0.25,214.25,11.0,0.75625,114.0,7.125,27.75,0.10773738323080426,9.5,59.125,328.25,0.625,6.85,5.5875,4.2
Panthers,18.25,5.125,39.375,0.34106904125286475,0.66875,0.6537494013409961,0.125,0.375,0.75,184.875,10.125,0.35416666666666663,123.875,7.0,29.5,0.12572290018410706,9.75,59.625,308.75,1.125,6.025,5.1,4.1875
Patriots,21.0,4.875,40.125,0.44011197136197133,0.5208333333333333,0.7085418624538888,0.375,0.25,0.5,254.875,12.625,0.38125,124.0,7.0,31.125,0.401623273991695,10.375,63.25,378.875,0.75,7.975,6.0125,3.9749999999999996
Raiders,14.875,7.25,55.875,0.31210407239819005,0.29166666666666663,0.6881891822448888,0.0,0.25,0.625,168.375,10.125,0.6354166666666666,47.75,2.875,18.75,0.16142054784296161,10.875,54.0,216.125,0.875,4.8,3.975,2.575
Rams,23.25,3.75,28.375,0.37654671717171717,0.5208333333333334,0.6636763773860548,0.125,0.375,0.25,224.0,13.125,0.775,131.25,7.875,27.875,0.0888392857142857,10.25,60.0,355.25,0.625,6.925,5.9,4.7125
Ravens,19.375,5.5,48.875,0.3564628182275241,0.6979166666666666,0.6198143072395239,0.0,0.875,0.625,173.5,8.25,0.42291666666666666,160.0,9.25,33.125,0.15493908265647394,11.0,63.5,333.5,1.5,5.8875,5.3,4.8625
Saints,16.75,6.5,49.125,0.3658153223410576,0.19583333333333333,0.6626412963971013,0.125,1.0,1.125,205.0,9.75,0.4375,80.375,5.5,24.125,0.1868259553089013,10.125,60.5,285.375,2.125,5.9875,4.8375,3.3125
Seahawks,19.625,6.75,51.75,0.3809133574758575,0.375,0.6639724569412069,0.5,0.75,1.125,229.5,10.125,0.5416666666666666,120.875,7.25,30.25,0.12074220713926595,11.375,59.25,350.375,1.875,8.6125,6.075,4.05
Steelers,16.25,6.375,52.0,0.39836829836829835,0.47916666666666663,0.6397877699466883,0.375,0.625,0.75,196.125,8.75,0.59375,92.5,5.875,22.0,0.12042833596142417,10.5,55.625,288.625,1.375,5.825,5.175,4.1625
Texans,19.5,7.5,63.25,0.36491405857214676,0.46875,0.5866925744303653,0.25,0.125,0.5,228.0,12.25,0.38333333333333336,99.125,5.0,27.125,0.10636148007590132,11.875,68.125,327.125,0.625,5.6375,4.775,3.7125
Titans,14.625,7.5,54.875,0.2893036701860231,0.28720238095238093,0.6270968558120261,0.375,0.75,0.5,169.25,9.625,0.47916666666666663,84.75,3.875,19.875,0.1325465360440816,10.5,58.125,254.0,1.25,4.4,4.375,4.1375
Vikings,16.5,6.0,50.25,0.3159271284271284,0.425,0.5870559638929019,0.0,0.375,1.75,154.75,8.875,0.5125,102.625,5.625,21.625,0.18082010582010577,10.75,55.375,257.375,2.125,4.4125,4.525,4.675
