team1,team2,team1_1st_downs,team1_numberpenalties,team1_penaltyyards,team1_3rd_down_efficiency,team1_4th_down_efficiency,team1_comp/att,team1_defensive_/_special_teams_tds,team1_fumbles_lost,team1_interceptions_thrown,team1_passing,team1_passing_1st_downs,team1_possession,team1_red_zone_(made-att),team1_rushing,team1_rushing_1st_downs,team1_rushing_attempts,team1_sacks-yards_lost,team1_total_drives,team1_total_plays,team1_total_yards,team1_turnovers,team1_yards_per_pass,team1_yards_per_play,team1_yards_per_rush,team2_1st_downs,team2_numberpenalties,team2_penaltyyards,team2_3rd_down_efficiency,team2_4th_down_efficiency,team2_comp/att,team2_defensive_/_special_teams_tds,team2_fumbles_lost,team2_interceptions_thrown,team2_passing,team2_passing_1st_downs,team2_possession,team2_red_zone_(made-att),team2_rushing,team2_rushing_1st_downs,team2_rushing_attempts,team2_sacks-yards_lost,team2_total_drives,team2_total_plays,team2_total_yards,team2_turnovers,team2_yards_per_pass,team2_yards_per_play,team2_yards_per_rush,total,spread,ML
Ravens,Jets,16,5,30,0.1818181818181818,1.0,0.5652173913043478,0,0,0,143,7,31:47,0.4,98,6,34,0.1,11,58,241,0,6.0,4.2,2.9,15,6,81,0.3636363636363636,0.0,0.6071428571428571,0,1,1,204,10,28:13,0.5,78,5,26,0.1666666666666666,10,57,282,2,6.6,4.9,3.0,33,-13,1
Ravens,Bengals,16,7,53,0.3,0.5,0.53125,0,4,1,223,7,21:14,0.5,123,8,22,0.1304347826086956,13,57,346,5,6.4,6.1,5.6,22,6,35,0.4210526315789473,0.5,0.5217391304347826,0,1,0,254,11,38:46,0.1666666666666666,128,8,33,0.1428571428571428,12,80,382,1,5.4,4.8,3.9,46,18,2
Ravens,Steelers,22,5,39,0.3888888888888889,0.75,0.5428571428571428,0,0,1,203,9,33:44,0.3333333333333333,217,10,40,0.125,10,77,420,1,5.5,5.5,5.4,13,7,33,0.4285714285714285,1.0,0.6764705882352942,0,0,0,284,7,26:16,0.5,34,4,17,0.0,10,51,318,0,8.4,6.2,2.0,49,5,2
Bills,Chiefs,23,4,40,0.5833333333333334,0.0,0.8846153846153846,0,0,0,263,13,34:45,1.0,141,9,35,0.3,10,64,404,0,9.1,6.3,4.0,16,3,25,0.2307692307692307,0.6666666666666666,0.4411764705882353,0,0,1,226,10,25:15,0.6666666666666666,79,5,20,0.125,10,57,305,1,6.1,5.4,4.0,49,-7,1
Bills,Dolphins,20,6,67,0.3333333333333333,0.5,0.7,0,2,1,289,12,31:23,0.0,87,4,22,0.1764705882352941,11,65,376,3,6.7,5.8,4.0,19,5,35,0.3333333333333333,0.0,0.7142857142857143,0,0,2,173,9,28:37,1.0,197,9,32,0.0,11,53,370,2,8.2,7.0,6.2,43,17,2
Bills,Buccaneers,19,7,45,0.5454545454545454,0.5,0.6333333333333333,0,1,2,317,13,24:53,0.75,97,4,23,0.0,11,53,414,3,10.6,7.8,4.2,21,2,30,0.5625,1.0,0.5714285714285714,0,1,1,165,6,35:07,0.5,202,13,39,0.125,13,68,367,2,5.7,5.4,5.2,76,-12,1
Bills,Texans,14,6,54,0.3125,0.6,0.7058823529411765,1,1,2,183,9,32:22,0.0,143,5,24,0.1142857142857142,12,66,326,3,4.4,4.9,6.0,15,5,40,0.1666666666666666,1.0,0.5333333333333333,0,0,0,153,7,27:38,0.5,108,6,26,0.0,12,56,261,0,5.1,4.7,4.2,42,4,2
Bills,Steelers,26,7,45,0.5333333333333333,1.0,0.6521739130434783,1,1,1,123,9,41:59,0.5,249,16,51,0.0,8,74,372,2,5.3,5.0,4.9,10,5,67,0.3333333333333333,0.0,0.4166666666666667,0,1,1,108,4,18:01,0.5,58,5,18,0.1111111111111111,10,43,166,2,4.3,3.9,3.2,33,-19,1
Bills,Bengals,22,6,68,0.5454545454545454,0.75,0.7857142857142857,1,1,0,233,13,31:48,0.6,183,7,29,0.1666666666666666,9,60,416,1,7.5,6.9,6.3,25,4,30,0.8333333333333334,0.0,0.6944444444444444,0,0,2,276,18,28:12,1.0,62,4,19,0.125,9,56,338,2,7.5,6.0,3.3,73,-5,1
Panthers,Bills,19,4,20,0.3636363636363636,1.0,0.6666666666666666,0,2,1,130,11,26:28,0.5,114,5,28,0.1555555555555555,11,59,244,3,4.2,4.1,4.1,23,7,60,0.5833333333333334,0.0,0.6086956521739131,0,0,0,165,10,33:32,0.6666666666666666,245,12,35,0.1,10,60,410,0,6.6,6.8,7.0,49,31,2
Panthers,Packers,19,5,39,0.4,1.0,0.55,0,0,1,102,6,29:50,0.6666666666666666,163,11,33,0.0,7,54,265,1,4.9,4.9,4.9,20,7,42,0.5384615384615384,0.6666666666666666,0.7027027027027027,0,1,1,265,13,30:10,0.2,104,7,25,0.125,7,63,369,2,7.0,5.9,4.2,29,-3,1
Panthers,Saints,13,1,5,0.3333333333333333,0.0,0.68,0,1,1,102,6,26:39,0.5,73,5,23,0.0909090909090909,11,50,175,2,3.8,3.5,3.2,17,6,60,0.4705882352941176,0.6666666666666666,0.6785714285714286,0,1,0,266,9,33:21,0.0,122,8,37,0.125,8,67,388,1,8.9,5.8,3.3,24,10,2
Panthers,Falcons,22,8,49,0.3529411764705882,0.6,0.6888888888888889,0,0,0,419,20,37:07,0.3333333333333333,67,2,25,0.1724137931034483,12,75,486,0,8.4,6.5,2.7,23,6,44,0.3636363636363636,0.0,0.6333333333333333,0,1,0,223,11,27:43,1.0,125,8,28,0.0,12,58,348,1,7.4,6.0,4.5,57,-3,1
Panthers,49ers,12,4,30,0.1428571428571428,0.0,0.6206896551724138,0,0,2,161,9,22:18,0.0,69,3,13,0.125,9,43,230,2,5.4,5.3,5.3,23,2,6,0.5384615384615384,1.0,0.71875,0,0,3,193,11,37:42,0.6666666666666666,147,12,38,0.0,10,70,340,3,6.0,4.9,3.9,29,11,2
Panthers,Rams,17,7,70,0.4666666666666667,1.0,0.75,1,0,0,194,8,35:16,0.0,164,9,40,0.1666666666666666,8,62,358,0,8.8,5.8,4.1,22,1,5,0.4,0.0,0.6428571428571429,0,1,2,227,12,24:44,0.6666666666666666,152,9,21,0.125,9,51,379,3,7.6,7.4,7.2,59,-3,1
Bears,Bengals,30,7,43,0.5333333333333333,1.0,0.5945945945945946,0,0,0,293,17,34:30,0.6666666666666666,283,11,37,0.2222222222222222,11,76,576,0,7.5,7.6,7.6,26,7,49,0.5,1.0,0.6595744680851063,1,1,2,449,22,25:30,0.5,46,3,15,0.1428571428571428,13,65,495,3,9.0,7.6,3.1,89,-5,1
Bears,Giants,23,3,25,0.2727272727272727,0.25,0.5555555555555556,0,0,0,220,11,28:42,0.75,171,8,28,0.0,12,64,391,0,6.1,6.1,6.1,21,10,69,0.3571428571428571,0.25,0.6111111111111112,0,1,0,262,11,31:18,0.25,169,8,30,0.16,11,70,431,1,6.6,6.2,5.6,44,-4,1
Bears,Vikings,19,6,40,0.3888888888888889,0.0,0.5,0,0,0,180,6,36:59,0.5,140,13,39,0.1538461538461538,12,73,320,0,5.3,4.4,3.6,15,2,15,0.2727272727272727,1.0,0.5,0,0,2,150,10,23:01,0.6666666666666666,115,4,22,0.0,12,54,265,2,4.7,4.9,5.2,36,-2,1
Bears,Steelers,19,7,83,0.5384615384615384,1.0,0.5428571428571428,0,2,0,229,11,26:51,1.0,99,7,25,0.1,12,61,328,2,6.4,5.4,4.0,22,6,41,0.5714285714285714,0.3333333333333333,0.7741935483870968,1,1,1,159,8,33:09,1.0,186,12,36,0.1666666666666666,10,69,345,2,4.8,5.0,5.2,59,-3,1
Bears,Eagles,28,4,35,0.5882352941176471,0.3333333333333333,0.4722222222222222,0,0,1,144,10,39:18,0.6666666666666666,281,17,47,0.2,12,85,425,1,3.8,5.0,6.0,14,7,44,0.3333333333333333,0.0,0.5588235294117647,0,1,1,230,11,20:42,0.5,87,2,17,0.0,11,51,317,2,6.8,6.2,5.1,39,-9,1
Bears,Packers,21,4,17,0.5,0.5,0.5428571428571428,0,0,1,177,12,33:29,0.5,138,7,32,0.1111111111111111,9,68,315,1,4.9,4.6,4.3,17,6,55,0.6666666666666666,0.0,0.68,0,0,1,220,9,26:31,1.0,117,8,26,0.0714285714285714,9,52,337,1,8.5,6.5,4.5,49,7,2
Bengals,Jets,24,2,15,0.4444444444444444,0.0,0.6176470588235294,0,0,0,217,11,26:20,0.75,181,12,23,0.1666666666666666,10,58,398,0,6.2,6.9,7.9,25,4,25,0.4666666666666667,0.6666666666666666,0.6666666666666666,0,0,0,248,13,33:40,0.6,254,11,37,0.0,11,70,502,0,7.5,7.2,6.9,77,1,2
Bengals,Bears,26,7,49,0.5,1.0,0.6595744680851063,1,1,2,449,22,25:30,0.5,46,3,15,0.1428571428571428,13,65,495,3,9.0,7.6,3.1,30,7,43,0.5333333333333333,1.0,0.5945945945945946,0,0,0,293,17,34:30,0.6666666666666666,283,11,37,0.2222222222222222,11,76,576,0,7.5,7.6,7.6,89,5,2
Bengals,Steelers,17,8,67,0.4666666666666667,0.0,0.575,0,1,1,192,9,29:55,0.0,105,6,22,0.1428571428571428,10,63,297,2,4.7,4.7,4.8,22,8,76,0.5384615384615384,1.0,0.6774193548387096,2,0,0,232,13,30:05,0.5,111,6,28,0.0909090909090909,8,60,343,0,7.3,5.7,4.0,46,22,2
Bengals,Patriots,20,6,65,0.2307692307692307,0.6666666666666666,0.5263157894736842,1,0,1,187,10,26:46,1.0,120,8,23,0.1,10,62,307,1,4.8,5.0,5.2,21,4,52,0.3846153846153846,0.0,0.6285714285714286,1,0,1,285,12,33:14,0.0,107,7,31,0.1111111111111111,10,67,392,1,7.9,5.9,3.5,46,6,2
Bengals,Ravens,22,6,35,0.4210526315789473,0.5,0.5217391304347826,0,1,0,254,11,38:46,0.1666666666666666,128,8,33,0.1428571428571428,12,80,382,1,5.4,4.8,3.9,16,7,53,0.3,0.5,0.53125,0,4,1,223,7,21:14,0.5,123,8,22,0.1304347826086956,13,57,346,5,6.4,6.1,5.6,46,-18,1
Bengals,Bills,25,4,30,0.8333333333333334,0.0,0.6944444444444444,0,0,2,276,18,28:12,1.0,62,4,19,0.125,9,56,338,2,7.5,6.0,3.3,22,6,68,0.5454545454545454,0.75,0.7857142857142857,1,1,0,233,13,31:48,0.6,183,7,29,0.1666666666666666,9,60,416,1,7.5,6.9,6.3,73,5,2
Browns,Patriots,12,5,31,0.1818181818181818,0.3333333333333333,0.6,0,0,2,145,7,23:48,0.6666666666666666,68,4,16,0.0909090909090909,12,52,213,2,4.0,4.1,4.3,23,7,54,0.2727272727272727,0.0,0.75,0,1,1,245,11,36:12,0.3333333333333333,177,10,35,0.1621621621621621,12,65,422,2,8.2,6.5,5.1,45,19,2
Browns,Jets,23,10,78,0.375,0.0,0.53125,0,0,0,120,8,34:04,0.5,158,10,32,0.1276595744680851,12,70,278,0,3.2,4.0,4.9,12,7,61,0.2727272727272727,0.0,0.5454545454545454,2,0,1,42,1,25:56,0.0,127,8,33,0.25,11,47,169,1,3.0,3.6,3.8,47,7,2
Browns,Ravens,10,5,41,0.1428571428571428,0.0,0.4230769230769231,1,0,1,81,4,27:01,0.0,106,5,25,0.088235294117647,12,54,187,1,2.8,3.5,4.2,17,4,26,0.3846153846153846,1.0,0.56,0,1,2,167,9,32:59,0.25,184,8,30,0.1923076923076923,12,60,351,3,5.6,5.8,6.1,39,7,2
