team1,team2,team1_1st_downs,team1_numberpenalties,team1_penaltyyards,team1_3rd_down_efficiency,team1_4th_down_efficiency,team1_comp/att,team1_defensive_/_special_teams_tds,team1_fumbles_lost,team1_interceptions_thrown,team1_passing,team1_passing_1st_downs,team1_possession,team1_red_zone_(made-att),team1_rushing,team1_rushing_1st_downs,team1_rushing_attempts,team1_sacks-yards_lost,team1_total_drives,team1_total_plays,team1_total_yards,team1_turnovers,team1_yards_per_pass,team1_yards_per_play,team1_yards_per_rush,team2_1st_downs,team2_numberpenalties,team2_penaltyyards,team2_3rd_down_efficiency,team2_4th_down_efficiency,team2_comp/att,team2_defensive_/_special_teams_tds,team2_fumbles_lost,team2_interceptions_thrown,team2_passing,team2_passing_1st_downs,team2_possession,team2_red_zone_(made-att),team2_rushing,team2_rushing_1st_downs,team2_rushing_attempts,team2_sacks-yards_lost,team2_total_drives,team2_total_plays,team2_total_yards,team2_turnovers,team2_yards_per_pass,team2_yards_per_play,team2_yards_per_rush,total,spread,ML
Cardinals,Buccaneers,22,4,33,0.375,0.0,0.725,0,1,1,291,16,29:34,1.0,95,6,19,0.2,10,61,386,2,6.9,6.3,5.0,13,5,40,0.4375,1.0,0.6428571428571429,0,0,0,184,8,30:26,0.5,95,5,27,0.2,10,57,279,0,6.1,4.9,3.5,37,3,2
Cardinals,Rams,17,7,42,0.3333333333333333,0.0,0.5681818181818182,0,0,1,263,15,24:56,0.5,51,2,14,0.375,11,61,314,1,5.6,5.1,3.6,30,5,30,0.375,0.0,0.7096774193548387,0,0,0,281,13,35:04,0.75,249,15,36,0.0,11,67,530,0,9.1,7.9,6.9,62,28,2
Falcons,Jets,25,1,27,0.3333333333333333,0.0,0.6363636363636364,0,1,0,222,12,32:55,1.0,167,11,32,0.1666666666666666,11,67,389,1,6.3,5.8,5.2,16,9,59,0.4375,1.0,0.5757575757575758,0,0,0,159,8,27:05,0.6666666666666666,110,7,28,0.1538461538461538,13,63,269,0,4.5,4.3,3.9,51,3,2
Falcons,Seahawks,15,8,56,0.0769230769230769,0.5,0.5,0,1,2,154,6,28:40,0.0,120,6,31,0.125,11,62,274,3,5.0,4.4,3.9,20,6,60,0.4615384615384615,0.0,0.6666666666666666,1,0,1,236,11,31:20,0.5,129,6,26,0.1538461538461538,11,58,365,1,7.4,6.3,5.0,46,28,2
Ravens,Bengals,16,7,53,0.3,0.5,0.53125,0,4,1,223,7,21:14,0.5,123,8,22,0.1304347826086956,13,57,346,5,6.4,6.1,5.6,22,6,35,0.4210526315789473,0.5,0.5217391304347826,0,1,0,254,11,38:46,0.1666666666666666,128,8,33,0.1428571428571428,12,80,382,1,5.4,4.8,3.9,46,18,2
Ravens,Steelers,22,5,39,0.3888888888888889,0.75,0.5428571428571428,0,0,1,203,9,33:44,0.3333333333333333,217,10,40,0.125,10,77,420,1,5.5,5.5,5.4,13,7,33,0.4285714285714285,1.0,0.6764705882352942,0,0,0,284,7,26:16,0.5,34,4,17,0.0,10,51,318,0,8.4,6.2,2.0,49,5,2
Bills,Steelers,26,7,45,0.5333333333333333,1.0,0.6521739130434783,1,1,1,123,9,41:59,0.5,249,16,51,0.0,8,74,372,2,5.3,5.0,4.9,10,5,67,0.3333333333333333,0.0,0.4166666666666667,0,1,1,108,4,18:01,0.5,58,5,18,0.1111111111111111,10,43,166,2,4.3,3.9,3.2,33,-19,1
Bills,Bengals,22,6,68,0.5454545454545454,0.75,0.7857142857142857,1,1,0,233,13,31:48,0.6,183,7,29,0.1666666666666666,9,60,416,1,7.5,6.9,6.3,25,4,30,0.8333333333333334,0.0,0.6944444444444444,0,0,2,276,18,28:12,1.0,62,4,19,0.125,9,56,338,2,7.5,6.0,3.3,73,-5,1
Panthers,49ers,12,4,30,0.1428571428571428,0.0,0.6206896551724138,0,0,2,161,9,22:18,0.0,69,3,13,0.125,9,43,230,2,5.4,5.3,5.3,23,2,6,0.5384615384615384,1.0,0.71875,0,0,3,193,11,37:42,0.6666666666666666,147,12,38,0.0,10,70,340,3,6.0,4.9,3.9,29,11,2
Panthers,Rams,17,7,70,0.4666666666666667,1.0,0.75,1,0,0,194,8,35:16,0.0,164,9,40,0.1666666666666666,8,62,358,0,8.8,5.8,4.1,22,1,5,0.4,0.0,0.6428571428571429,0,1,2,227,12,24:44,0.6666666666666666,152,9,21,0.125,9,51,379,3,7.6,7.4,7.2,59,-3,1
Bears,Eagles,28,4,35,0.5882352941176471,0.3333333333333333,0.4722222222222222,0,0,1,144,10,39:18,0.6666666666666666,281,17,47,0.2,12,85,425,1,3.8,5.0,6.0,14,7,44,0.3333333333333333,0.0,0.5588235294117647,0,1,1,230,11,20:42,0.5,87,2,17,0.0,11,51,317,2,6.8,6.2,5.1,39,-9,1
Bears,Packers,21,4,17,0.5,0.5,0.5428571428571428,0,0,1,177,12,33:29,0.5,138,7,32,0.1111111111111111,9,68,315,1,4.9,4.6,4.3,17,6,55,0.6666666666666666,0.0,0.68,0,0,1,220,9,26:31,1.0,117,8,26,0.0714285714285714,9,52,337,1,8.5,6.5,4.5,49,7,2
Bengals,Ravens,22,6,35,0.4210526315789473,0.5,0.5217391304347826,0,1,0,254,11,38:46,0.1666666666666666,128,8,33,0.1428571428571428,12,80,382,1,5.4,4.8,3.9,16,7,53,0.3,0.5,0.53125,0,4,1,223,7,21:14,0.5,123,8,22,0.1304347826086956,13,57,346,5,6.4,6.1,5.6,46,-18,1
Bengals,Bills,25,4,30,0.8333333333333334,0.0,0.6944444444444444,0,0,2,276,18,28:12,1.0,62,4,19,0.125,9,56,338,2,7.5,6.0,3.3,22,6,68,0.5454545454545454,0.75,0.7857142857142857,1,1,0,233,13,31:48,0.6,183,7,29,0.1666666666666666,9,60,416,1,7.5,6.9,6.3,73,5,2
Browns,49ers,15,4,25,0.2727272727272727,0.0,0.6538461538461539,0,2,0,115,7,29:50,0.0,138,8,31,0.088235294117647,9,60,253,2,4.0,4.2,4.5,19,3,11,0.6470588235294118,0.0,0.5333333333333333,0,0,0,161,11,30:10,0.6,91,7,33,0.1428571428571428,11,64,252,0,5.2,3.9,2.8,34,18,2
Browns,Titans,22,7,50,0.4285714285714285,0.0,0.5476190476190477,0,1,1,351,13,28:04,1.0,61,5,20,0.1538461538461538,15,64,412,2,8.0,6.4,3.1,13,11,85,0.3529411764705882,0.0,0.5,0,0,1,108,6,31:56,1.0,184,7,35,0.1111111111111111,15,64,292,1,3.7,4.6,5.3,60,2,2
Cowboys,Chiefs,23,7,50,0.5625,1.0,0.6923076923076923,0,0,1,320,15,30:54,0.5,137,3,26,0.0,10,65,457,1,8.2,7.0,5.3,19,10,119,0.3846153846153846,1.0,0.6764705882352942,0,0,0,243,12,29:06,1.0,119,7,23,0.1666666666666666,9,60,362,0,6.6,6.0,5.2,59,-3,1
Cowboys,Lions,25,7,76,0.4,1.0,0.6595744680851063,0,1,2,326,17,31:23,0.3333333333333333,91,7,24,0.1,11,76,417,3,6.3,5.5,3.8,20,8,50,0.375,0.0,0.7352941176470589,0,0,0,299,10,28:37,0.8,109,8,22,0.1,12,57,408,0,8.5,7.2,5.0,74,14,2
Broncos,Commanders,23,5,33,0.4666666666666667,1.0,0.6444444444444445,0,0,1,315,17,32:13,0.6,87,6,23,0.1666666666666666,10,69,402,1,6.8,5.8,3.8,30,5,35,0.4705882352941176,1.0,0.56,0,0,1,276,17,35:00,0.6,143,10,33,0.1111111111111111,11,85,419,1,5.3,4.9,4.3,53,-1,1
Broncos,Raiders,27,8,50,0.5833333333333334,0.3333333333333333,0.8157894736842105,1,0,0,204,14,39:03,0.6666666666666666,152,11,31,0.375,7,72,356,0,5.0,4.9,4.9,16,3,25,0.3333333333333333,0.3333333333333333,0.65625,0,0,0,189,11,20:57,0.5,40,3,12,0.1666666666666666,8,48,229,0,5.3,4.8,3.3,41,-7,1
Lions,Packers,20,5,22,0.6153846153846154,0.0,0.7407407407407407,0,0,0,233,12,31:06,0.6666666666666666,119,7,30,0.1304347826086956,8,60,352,0,7.8,5.9,4.0,18,3,20,0.5,1.0,0.6,0,0,0,234,11,28:54,1.0,125,5,30,0.0,9,60,359,0,7.8,6.0,4.2,55,7,2
Lions,Cowboys,20,8,50,0.375,0.0,0.7352941176470589,0,0,0,299,10,28:37,0.8,109,8,22,0.1,12,57,408,0,8.5,7.2,5.0,25,7,76,0.4,1.0,0.6595744680851063,0,1,2,326,17,31:23,0.3333333333333333,91,7,24,0.1,11,76,417,3,6.3,5.5,3.8,74,-14,1
Packers,Lions,18,3,20,0.5,1.0,0.6,0,0,0,234,11,28:54,1.0,125,5,30,0.0,9,60,359,0,7.8,6.0,4.2,20,5,22,0.6153846153846154,0.0,0.7407407407407407,0,0,0,233,12,31:06,0.6666666666666666,119,7,30,0.1304347826086956,8,60,352,0,7.8,5.9,4.0,55,-7,1
Packers,Bears,17,6,55,0.6666666666666666,0.0,0.68,0,0,1,220,9,26:31,1.0,117,8,26,0.0714285714285714,9,52,337,1,8.5,6.5,4.5,21,4,17,0.5,0.5,0.5428571428571428,0,0,1,177,12,33:29,0.5,138,7,32,0.1111111111111111,9,68,315,1,4.9,4.6,4.3,49,-7,1
Texans,Colts,24,9,85,0.4615384615384615,0.0,0.6285714285714286,0,0,1,256,14,34:58,0.4,108,7,34,0.1,10,71,364,1,6.9,5.1,3.2,17,5,33,0.3,0.0,0.5185185185185185,0,0,0,195,9,25:02,0.5,86,5,23,0.1666666666666666,9,51,281,0,7.0,5.5,3.7,36,-4,1
Texans,Chiefs,14,8,59,0.4444444444444444,0.0,0.4838709677419355,0,0,0,186,7,31:58,0.5,82,5,31,0.1764705882352941,13,65,268,0,5.5,4.1,2.6,15,5,20,0.2857142857142857,0.3333333333333333,0.4242424242424242,0,0,3,148,8,28:02,0.5,126,6,29,0.1666666666666666,13,64,274,3,4.2,4.3,4.3,30,-10,1
Colts,Texans,17,5,33,0.3,0.0,0.5185185185185185,0,0,0,195,9,25:02,0.5,86,5,23,0.1666666666666666,9,51,281,0,7.0,5.5,3.7,24,9,85,0.4615384615384615,0.0,0.6285714285714286,0,0,1,256,14,34:58,0.4,108,7,34,0.1,10,71,364,1,6.9,5.1,3.2,36,4,2
Colts,Jaguars,20,5,45,0.5454545454545454,0.0,0.6388888888888888,0,1,2,196,12,29:55,0.5,89,5,26,0.1111111111111111,12,63,285,3,5.3,4.5,3.4,18,8,64,0.4666666666666667,0.5,0.5806451612903226,0,1,0,247,10,30:05,0.6,103,8,32,0.0,12,63,350,1,8.0,5.6,3.2,55,17,2
Jaguars,Titans,20,13,98,0.2307692307692307,1.0,0.5925925925925926,0,0,0,202,13,31:26,1.0,70,3,27,0.1111111111111111,12,57,272,0,6.7,4.8,2.6,11,10,86,0.1666666666666666,0.25,0.631578947368421,0,2,0,121,4,28:34,0.0,67,5,14,0.15,11,55,188,2,3.0,3.4,4.8,28,-22,1
Jaguars,Colts,18,8,64,0.4666666666666667,0.5,0.5806451612903226,0,1,0,247,10,30:05,0.6,103,8,32,0.0,12,63,350,1,8.0,5.6,3.2,20,5,45,0.5454545454545454,0.0,0.6388888888888888,0,1,2,196,12,29:55,0.5,89,5,26,0.1111111111111111,12,63,285,3,5.3,4.5,3.4,55,-17,1
Chiefs,Cowboys,19,10,119,0.3846153846153846,1.0,0.6764705882352942,0,0,0,243,12,29:06,1.0,119,7,23,0.1666666666666666,9,60,362,0,6.6,6.0,5.2,23,7,50,0.5625,1.0,0.6923076923076923,0,0,1,320,15,30:54,0.5,137,3,26,0.0,10,65,457,1,8.2,7.0,5.3,59,3,2
Chiefs,Texans,15,5,20,0.2857142857142857,0.3333333333333333,0.4242424242424242,0,0,3,148,8,28:02,0.5,126,6,29,0.1666666666666666,13,64,274,3,4.2,4.3,4.3,14,8,59,0.4444444444444444,0.0,0.4838709677419355,0,0,0,186,7,31:58,0.5,82,5,31,0.1764705882352941,13,65,268,0,5.5,4.1,2.6,30,10,2
Raiders,Chargers,12,4,50,0.25,0.0,0.782608695652174,0,0,1,125,9,24:12,1.0,31,1,18,0.125,10,46,156,1,4.5,3.4,1.7,22,4,27,0.7058823529411765,0.0,0.7619047619047619,0,0,1,149,11,35:48,0.6,192,8,43,0.2727272727272727,10,67,341,1,6.2,5.1,4.5,45,17,2
