team1,team2,team1_1st_downs,team1_numberpenalties,team1_penaltyyards,team1_3rd_down_efficiency,team1_4th_down_efficiency,team1_comp/att,team1_defensive_/_special_teams_tds,team1_fumbles_lost,team1_interceptions_thrown,team1_passing,team1_passing_1st_downs,team1_possession,team1_red_zone_(made-att),team1_rushing,team1_rushing_1st_downs,team1_rushing_attempts,team1_sacks-yards_lost,team1_total_drives,team1_total_plays,team1_total_yards,team1_turnovers,team1_yards_per_pass,team1_yards_per_play,team1_yards_per_rush,team2_1st_downs,team2_numberpenalties,team2_penaltyyards,team2_3rd_down_efficiency,team2_4th_down_efficiency,team2_comp/att,team2_defensive_/_special_teams_tds,team2_fumbles_lost,team2_interceptions_thrown,team2_passing,team2_passing_1st_downs,team2_possession,team2_red_zone_(made-att),team2_rushing,team2_rushing_1st_downs,team2_rushing_attempts,team2_sacks-yards_lost,team2_total_drives,team2_total_plays,team2_total_yards,team2_turnovers,team2_yards_per_pass,team2_yards_per_play,team2_yards_per_rush,spread
Falcons,Colts,22,3,35,0.0,0.0,0.42857142857142855,0,1,0,150,10,26:09,1.0,140,10,29,0.1111111111111111,13,60,290,1,4.8,4.8,4.8,25,7,56,0.16666666666666666,0.5,0.7307692307692307,0,1,1,196,10,40:20,0.5,323,15,41,0.11864406779661017,12,74,519,2,5.9,7.0,7.9,6
Falcons,Panthers,23,6,44,0.36363636363636365,0.0,0.6333333333333333,0,1,0,223,11,27:43,1.0,125,8,28,0.0,12,58,348,1,7.4,6.0,4.5,22,8,49,0.35294117647058826,0.6,0.6888888888888889,0,0,0,419,20,37:07,0.3333333333333333,67,2,25,0.1724137931034483,12,75,486,0,8.4,6.5,2.7,3
Falcons,Saints,13,9,82,0.25,1.0,0.6956521739130435,0,0,1,181,7,27:09,0.5,121,6,29,0.16666666666666666,12,55,302,1,7.0,5.5,4.2,21,4,36,0.3125,0.4,0.6666666666666666,1,1,1,214,11,32:51,0.0,79,8,28,0.1724137931034483,10,78,293,2,4.3,3.8,2.8,-14
Falcons,Jets,25,1,27,0.3333333333333333,0.0,0.6363636363636364,0,1,0,222,12,32:55,1.0,167,11,32,0.16666666666666666,11,67,389,1,6.3,5.8,5.2,16,9,59,0.4375,1.0,0.5757575757575758,0,0,0,159,8,27:05,0.6666666666666666,110,7,28,0.15384615384615385,13,63,269,0,4.5,4.3,3.9,3
Ravens,Bills,19,7,51,0.5454545454545454,0.0,0.7368421052631579,0,1,0,194,8,25:11,0.3333333333333333,238,10,29,0.13333333333333333,11,50,432,1,9.2,8.6,8.2,29,5,38,0.4666666666666667,1.0,0.717391304347826,0,0,0,389,18,34:49,0.7142857142857143,108,9,31,0.2,12,78,497,0,8.3,6.4,3.5,1
Ravens,Browns,14,6,28,0.25,1.0,0.6551724137931034,1,0,0,197,10,28:11,0.75,45,2,21,0.10714285714285714,12,53,242,0,6.2,4.6,2.1,17,6,42,0.3888888888888889,0.3333333333333333,0.5833333333333334,0,1,1,208,10,31:49,1.0,115,7,22,0.18181818181818182,12,72,323,2,4.2,4.5,5.2,-24
Ravens,Lions,21,3,10,0.5454545454545454,0.0,0.75,0,1,0,233,14,26:42,0.5,85,4,19,0.12727272727272726,10,54,318,1,6.7,5.9,4.5,24,8,68,0.5,1.0,0.7142857142857143,0,0,0,202,11,33:18,0.8,224,12,38,0.0,11,66,426,0,7.2,6.5,5.9,8
Ravens,Chiefs,18,6,56,0.3,0.25,0.696969696969697,0,1,1,194,10,25:15,0.5,166,7,17,0.6,10,53,360,2,5.4,6.8,9.8,24,5,40,0.3333333333333333,1.0,0.6756756756756757,0,0,0,264,15,34:45,0.6666666666666666,118,8,32,0.16666666666666666,10,70,382,0,6.9,5.5,3.7,17
Ravens,Texans,12,9,49,0.375,0.0,0.7,0,0,3,163,7,23:27,0.5,44,4,19,0.0625,10,40,207,3,7.8,5.2,2.3,27,4,26,0.5833333333333334,1.0,0.8064516129032258,0,0,0,250,15,36:33,0.8,167,8,33,0.11764705882352941,10,66,417,0,7.6,6.3,5.1,34
Ravens,Rams,19,7,80,0.4117647058823529,0.3333333333333333,0.6176470588235294,0,2,1,117,6,37:55,0.0,179,11,37,0.17391304347826086,9,75,296,3,3.1,3.9,4.8,15,6,40,0.4,0.5,0.6538461538461539,0,1,0,167,10,22:05,0.4,74,4,23,0.14285714285714285,10,51,241,1,6.0,4.7,3.2,14
Ravens,Bears,24,6,45,0.4,1.0,0.7727272727272727,0,0,0,178,8,30:30,0.5,177,13,35,0.25,9,59,355,0,7.4,6.0,5.1,19,11,79,0.46153846153846156,0.0,0.6578947368421053,0,0,1,276,13,29:30,0.3333333333333333,96,5,23,0.1111111111111111,9,62,372,1,7.1,6.0,4.2,-14
Ravens,Dolphins,18,5,56,0.38461538461538464,1.0,0.782608695652174,0,0,0,188,11,31:43,1.0,150,7,31,0.125,11,56,338,0,7.5,6.0,4.8,17,5,45,0.16666666666666666,0.6666666666666666,0.625,0,2,1,245,12,28:17,0.0,87,4,20,0.125,11,62,332,3,5.8,5.4,4.4,-22
Ravens,Vikings,23,5,62,0.4,0.0,0.5862068965517241,0,0,0,169,9,32:35,0.4,152,11,36,0.14285714285714285,13,66,321,0,5.6,4.9,4.2,18,13,102,0.21428571428571427,0.4,0.47619047619047616,0,1,2,245,9,27:25,0.6666666666666666,120,6,18,0.3333333333333333,13,61,365,3,5.7,6.0,6.7,-8
Ravens,Browns,17,4,26,0.38461538461538464,1.0,0.56,0,1,2,167,9,32:59,0.25,184,8,30,0.19230769230769232,12,60,351,3,5.6,5.8,6.1,10,5,41,0.14285714285714285,0.0,0.4230769230769231,1,0,1,81,4,27:01,0.0,106,5,25,0.08823529411764706,12,54,187,1,2.8,3.5,4.2,-7
Ravens,Jets,16,5,30,0.18181818181818182,1.0,0.5652173913043478,0,0,0,143,7,31:47,0.4,98,6,34,0.1,11,58,241,0,6.0,4.2,2.9,15,6,81,0.36363636363636365,0.0,0.6071428571428571,0,1,1,204,10,28:13,0.5,78,5,26,0.16666666666666666,10,57,282,2,6.6,4.9,3.0,-13
Ravens,Bengals,16,7,53,0.3,0.5,0.53125,0,4,1,223,7,21:14,0.5,123,8,22,0.13043478260869565,13,57,346,5,6.4,6.1,5.6,22,6,35,0.42105263157894735,0.5,0.5217391304347826,0,1,0,254,11,38:46,0.16666666666666666,128,8,33,0.14285714285714285,12,80,382,1,5.4,4.8,3.9,18
Bills,Ravens,29,5,38,0.4666666666666667,1.0,0.717391304347826,0,0,0,389,18,34:49,0.7142857142857143,108,9,31,0.2,12,78,497,0,8.3,6.4,3.5,19,7,51,0.5454545454545454,0.0,0.7368421052631579,0,1,0,194,8,25:11,0.3333333333333333,238,10,29,0.13333333333333333,11,50,432,1,9.2,8.6,8.2,-1
Bills,Jets,25,6,69,0.35714285714285715,1.0,0.5555555555555556,0,0,0,179,9,38:21,0.5,224,12,43,1.0,11,71,403,0,6.4,5.7,5.2,11,5,35,0.0,1.0,0.45454545454545453,0,1,0,54,5,21:39,1.0,100,5,21,0.13793103448275862,10,47,154,1,2.1,3.3,4.8,-20
Bills,Dolphins,23,3,35,0.5454545454545454,0.0,0.7857142857142857,0,0,0,203,12,31:47,0.75,157,8,27,0.2,9,57,360,0,6.8,6.3,5.8,19,6,57,0.6666666666666666,1.0,0.6470588235294118,0,0,1,146,11,28:13,1.0,130,8,25,0.0,9,59,276,1,4.3,4.7,5.2,-10
Bills,Saints,20,11,55,0.3,0.0,0.7272727272727273,0,0,1,191,10,31:21,0.6666666666666666,165,9,32,0.16666666666666666,11,57,356,1,7.6,6.2,5.2,22,4,41,0.38461538461538464,0.0,0.6428571428571429,0,0,1,109,7,28:39,0.5,189,14,34,0.17647058823529413,10,65,298,1,3.5,4.6,5.6,-12
Bills,Patriots,25,11,90,0.5555555555555556,0.0,0.7096774193548387,0,2,1,245,16,34:31,0.5,118,5,29,0.125,10,61,363,3,7.7,6.0,4.1,21,8,93,0.3333333333333333,0.0,0.7333333333333333,0,1,0,267,13,25:29,0.5,71,5,22,0.6666666666666666,10,56,338,1,7.9,6.0,3.2,3
Bills,Falcons,17,8,64,0.2222222222222222,0.0,0.5769230769230769,0,0,2,157,8,28:21,0.6666666666666666,134,7,24,0.17391304347826086,11,54,291,2,5.2,5.4,5.6,22,6,35,0.4166666666666667,0.0,0.625,0,0,0,233,10,31:39,0.3333333333333333,210,9,32,0.11764705882352941,12,66,443,0,6.9,6.7,6.6,10
Bills,Panthers,23,7,60,0.5833333333333334,0.0,0.6086956521739131,0,0,0,165,10,33:32,0.6666666666666666,245,12,35,0.1,10,60,410,0,6.6,6.8,7.0,19,4,20,0.36363636363636365,1.0,0.6666666666666666,0,2,1,130,11,26:28,0.5,114,5,28,0.15555555555555556,11,59,244,3,4.2,4.1,4.1,-31
Bills,Chiefs,23,4,40,0.5833333333333334,0.0,0.8846153846153846,0,0,0,263,13,34:45,1.0,141,9,35,0.3,10,64,404,0,9.1,6.3,4.0,16,3,25,0.23076923076923078,0.6666666666666666,0.4411764705882353,0,0,1,226,10,25:15,0.6666666666666666,79,5,20,0.125,10,57,305,1,6.1,5.4,4.0,-7
Bills,Dolphins,20,6,67,0.3333333333333333,0.5,0.7,0,2,1,289,12,31:23,0.0,87,4,22,0.17647058823529413,11,65,376,3,6.7,5.8,4.0,19,5,35,0.3333333333333333,0.0,0.7142857142857143,0,0,2,173,9,28:37,1.0,197,9,32,0.0,11,53,370,2,8.2,7.0,6.2,17
Bills,Buccaneers,19,7,45,0.5454545454545454,0.5,0.6333333333333333,0,1,2,317,13,24:53,0.75,97,4,23,0.0,11,53,414,3,10.6,7.8,4.2,21,2,30,0.5625,1.0,0.5714285714285714,0,1,1,165,6,35:07,0.5,202,13,39,0.125,13,68,367,2,5.7,5.4,5.2,-12
Bills,Texans,14,6,54,0.3125,0.6,0.7058823529411765,1,1,2,183,9,32:22,0.0,143,5,24,0.11428571428571428,12,66,326,3,4.4,4.9,6.0,15,5,40,0.16666666666666666,1.0,0.5333333333333333,0,0,0,153,7,27:38,0.5,108,6,26,0.0,12,56,261,0,5.1,4.7,4.2,4
Bills,Steelers,26,7,45,0.5333333333333333,1.0,0.6521739130434783,1,1,1,123,9,41:59,0.5,249,16,51,0.0,8,74,372,2,5.3,5.0,4.9,10,5,67,0.3333333333333333,0.0,0.4166666666666667,0,1,1,108,4,18:01,0.5,58,5,18,0.1111111111111111,10,43,166,2,4.3,3.9,3.2,-19
Panthers,Jaguars,15,4,35,0.5333333333333333,0.0,0.5142857142857142,0,1,2,142,8,29:00,0.0,113,5,25,0.08333333333333333,10,61,255,3,3.9,4.2,4.5,19,11,93,0.4166666666666667,1.0,0.6129032258064516,0,0,1,178,9,31:00,0.4,200,10,32,0.0,10,63,378,1,5.7,6.0,6.3,16
Panthers,Cardinals,26,7,83,0.3333333333333333,0.75,0.6363636363636364,0,1,1,303,19,33:15,0.75,49,4,19,0.12,10,77,352,2,5.2,4.6,2.6,16,12,96,0.3333333333333333,1.0,0.68,1,0,1,211,10,26:45,0.5,82,5,22,0.1111111111111111,8,48,293,1,8.1,6.1,3.7,5
Panthers,Falcons,15,6,55,0.2727272727272727,1.0,0.6666666666666666,1,1,0,114,7,31:58,0.6666666666666666,110,7,30,0.14285714285714285,9,55,224,1,4.6,4.1,3.7,17,3,23,0.38461538461538464,0.0,0.5348837209302325,0,1,2,201,11,28:02,0.0,131,6,23,0.0,11,66,332,3,4.7,5.0,5.7,-30
Panthers,Patriots,21,5,29,0.35714285714285715,0.3333333333333333,0.6388888888888888,0,0,0,197,11,35:14,1.0,129,8,28,0.09090909090909091,11,65,326,0,5.3,5.0,4.6,16,7,54,0.3333333333333333,1.0,0.7777777777777778,2,0,0,203,8,24:46,1.0,104,7,29,0.0,10,48,307,0,10.7,6.4,3.6,29
Panthers,Dolphins,26,8,46,0.45454545454545453,1.0,0.6333333333333333,0,1,1,179,12,31:14,0.6,239,8,32,0.15789473684210525,11,65,418,2,5.4,6.4,7.5,15,9,64,0.38461538461538464,1.0,0.75,0,0,0,229,13,28:46,0.6666666666666666,19,2,14,0.1111111111111111,10,53,248,0,5.9,4.7,1.4,-3
Panthers,Cowboys,27,6,57,0.375,1.0,0.68,0,0,1,194,11,32:02,0.5,216,14,38,0.2,9,64,410,1,7.5,6.4,5.7,15,6,37,0.4166666666666667,1.0,0.7352941176470589,0,0,0,261,12,27:58,0.5,31,1,19,0.0,9,53,292,0,7.7,5.5,1.6,-3
Panthers,Jets,17,6,45,0.29411764705882354,0.75,0.59375,0,0,0,177,10,35:05,0.3333333333333333,125,7,36,0.09523809523809523,11,70,302,0,5.2,4.3,3.5,12,5,26,0.4666666666666667,0.0,0.47058823529411764,0,0,2,139,8,24:55,0.0,81,3,20,0.18181818181818182,11,60,220,2,3.5,3.7,4.1,-7
Panthers,Bills,19,4,20,0.36363636363636365,1.0,0.6666666666666666,0,2,1,130,11,26:28,0.5,114,5,28,0.15555555555555556,11,59,244,3,4.2,4.1,4.1,23,7,60,0.5833333333333334,0.0,0.6086956521739131,0,0,0,165,10,33:32,0.6666666666666666,245,12,35,0.1,10,60,410,0,6.6,6.8,7.0,31
Panthers,Packers,19,5,39,0.4,1.0,0.55,0,0,1,102,6,29:50,0.6666666666666666,163,11,33,0.0,7,54,265,1,4.9,4.9,4.9,20,7,42,0.5384615384615384,0.6666666666666666,0.7027027027027027,0,1,1,265,13,30:10,0.2,104,7,25,0.125,7,63,369,2,7.0,5.9,4.2,-3
Panthers,Saints,13,1,5,0.3333333333333333,0.0,0.68,0,1,1,102,6,26:39,0.5,73,5,23,0.09090909090909091,11,50,175,2,3.8,3.5,3.2,17,6,60,0.47058823529411764,0.6666666666666666,0.6785714285714286,0,1,0,266,9,33:21,0.0,122,8,37,0.125,8,67,388,1,8.9,5.8,3.3,10
Panthers,Falcons,22,8,49,0.35294117647058826,0.6,0.6888888888888889,0,0,0,419,20,37:07,0.3333333333333333,67,2,25,0.1724137931034483,12,75,486,0,8.4,6.5,2.7,23,6,44,0.36363636363636365,0.0,0.6333333333333333,0,1,0,223,11,27:43,1.0,125,8,28,0.0,12,58,348,1,7.4,6.0,4.5,-3
Panthers,49ers,12,4,30,0.14285714285714285,0.0,0.6206896551724138,0,0,2,161,9,22:18,0.0,69,3,13,0.125,9,43,230,2,5.4,5.3,5.3,23,2,6,0.5384615384615384,1.0,0.71875,0,0,3,193,11,37:42,0.6666666666666666,147,12,38,0.0,10,70,340,3,6.0,4.9,3.9,11
Panthers,Rams,17,7,70,0.4666666666666667,1.0,0.75,1,0,0,194,8,35:16,0.0,164,9,40,0.16666666666666666,8,62,358,0,8.8,5.8,4.1,22,1,5,0.4,0.0,0.6428571428571429,0,1,2,227,12,24:44,0.6666666666666666,152,9,21,0.125,9,51,379,3,7.6,7.4,7.2,-3
Bears,Vikings,20,12,127,0.25,0.0,0.6,1,1,0,198,10,32:53,1.0,119,7,26,0.16666666666666666,13,63,317,1,5.4,5.0,4.6,14,8,50,0.25,0.0,0.65,0,0,1,134,5,27:07,0.6666666666666666,120,6,26,0.3333333333333333,13,49,254,1,5.8,5.2,4.6,3
Bears,Lions,19,8,50,0.5384615384615384,0.0,0.6363636363636364,0,1,1,205,11,29:40,1.0,134,7,27,0.13793103448275862,13,64,339,2,5.5,5.3,5.0,25,3,28,0.4,1.0,0.8214285714285714,0,0,0,334,15,30:20,0.8571428571428571,177,10,30,0.0,12,58,511,0,11.9,8.8,5.9,31
Bears,Cowboys,19,6,41,0.5714285714285714,1.0,0.6785714285714286,0,0,0,298,11,27:02,0.6666666666666666,87,7,29,0.0,10,57,385,0,10.6,6.8,3.0,23,4,25,0.2727272727272727,0.6666666666666666,0.7555555555555555,0,1,3,275,14,32:58,0.25,121,6,20,0.11764705882352941,10,67,396,4,5.9,5.9,6.1,-17
Bears,Raiders,16,8,60,0.4375,1.0,0.5945945945945946,0,0,1,202,10,33:10,0.25,69,5,26,0.1,11,64,271,1,5.3,4.2,2.7,17,5,36,0.25,0.0,0.6666666666666666,0,1,3,117,6,26:50,0.6666666666666666,240,10,31,0.0,11,52,357,4,5.6,6.9,7.7,-1
Bears,Commanders,19,9,84,0.3,0.0,0.5862068965517241,0,0,0,236,10,28:26,0.3333333333333333,145,8,27,0.1875,10,59,381,0,7.4,6.5,5.4,22,5,40,0.375,1.0,0.7307692307692307,0,2,1,205,11,31:34,1.0,124,7,31,0.5,10,60,329,3,7.1,5.5,4.0,-1
Bears,Saints,23,10,92,0.25,1.0,0.5769230769230769,0,0,1,164,10,36:19,0.3333333333333333,222,13,40,0.125,12,67,386,1,6.1,5.8,5.6,16,5,30,0.3,0.0,0.625,0,1,3,209,9,23:41,1.0,44,3,17,0.16666666666666666,11,53,253,4,5.8,4.8,2.6,-12
Bears,Ravens,19,11,79,0.46153846153846156,0.0,0.6578947368421053,0,0,1,276,13,29:30,0.3333333333333333,96,5,23,0.1111111111111111,9,62,372,1,7.1,6.0,4.2,24,6,45,0.4,1.0,0.7727272727272727,0,0,0,178,8,30:30,0.5,177,13,35,0.25,9,59,355,0,7.4,6.0,5.1,14
Bears,Bengals,30,7,43,0.5333333333333333,1.0,0.5945945945945946,0,0,0,293,17,34:30,0.6666666666666666,283,11,37,0.2222222222222222,11,76,576,0,7.5,7.6,7.6,26,7,49,0.5,1.0,0.6595744680851063,1,1,2,449,22,25:30,0.5,46,3,15,0.14285714285714285,13,65,495,3,9.0,7.6,3.1,-5
Bears,Giants,23,3,25,0.2727272727272727,0.25,0.5555555555555556,0,0,0,220,11,28:42,0.75,171,8,28,0.0,12,64,391,0,6.1,6.1,6.1,21,10,69,0.35714285714285715,0.25,0.6111111111111112,0,1,0,262,11,31:18,0.25,169,8,30,0.16,11,70,431,1,6.6,6.2,5.6,-4
Bears,Vikings,19,6,40,0.3888888888888889,0.0,0.5,0,0,0,180,6,36:59,0.5,140,13,39,0.15384615384615385,12,73,320,0,5.3,4.4,3.6,15,2,15,0.2727272727272727,1.0,0.5,0,0,2,150,10,23:01,0.6666666666666666,115,4,22,0.0,12,54,265,2,4.7,4.9,5.2,-2
Bears,Steelers,19,7,83,0.5384615384615384,1.0,0.5428571428571428,0,2,0,229,11,26:51,1.0,99,7,25,0.1,12,61,328,2,6.4,5.4,4.0,22,6,41,0.5714285714285714,0.3333333333333333,0.7741935483870968,1,1,1,159,8,33:09,1.0,186,12,36,0.16666666666666666,10,69,345,2,4.8,5.0,5.2,-3
Bears,Eagles,28,4,35,0.5882352941176471,0.3333333333333333,0.4722222222222222,0,0,1,144,10,39:18,0.6666666666666666,281,17,47,0.2,12,85,425,1,3.8,5.0,6.0,14,7,44,0.3333333333333333,0.0,0.5588235294117647,0,1,1,230,11,20:42,0.5,87,2,17,0.0,11,51,317,2,6.8,6.2,5.1,-9
